68|258
Athens|37.9838|23.7275
Washington|38.907619223358346|-77.04547817954415
Abu Dhabi|24.4539|54.3773
Doha|25.276987|51.520008
Paris|48.8566|2.3522
Roseau|15.3092|-61.3794
Brasilia|-15.8267|-47.9218
Ottawa|45.4215|-75.6972
Brussels|50.8503|4.3517
Stockholm|59.3293|18.0686
Rabat|34.020882|-6.84165
Beirut|33.8938|35.5018
Amman|31.9539|35.9106
Bern|46.9481|7.4474
Sofia|42.6977|23.3219
London|51.5074|-0.1278
San Juan|18.4655|-66.1057
Tokyo|35.6895|139.6917
Berlin|52.52|13.405
Madrid|40.4168|-3.7038
Rome|41.9028|12.4964
Cairo|30.0444|31.2357
Bangkok|13.7563|100.5018
Moscow|55.7558|37.6173
New Delhi|28.6139|77.209
Mexico City|19.4326|-99.1332
Buenos Aires|-34.6037|-58.3816
Canberra|-35.2809|149.13
Jakarta|-6.2088|106.8456
Seoul|37.549914|126.985207
Hanoi|21.0285|105.8542
Riyadh|24.7136|46.6753
Pretoria|-25.7461|28.1881
Baghdad|33.3152|44.3661
Kabul|34.5553|69.2075
Vienna|48.2082|16.3738
Helsinki|60.1695|24.9354
Oslo|59.9139|10.7522
Copenhagen|55.6761|12.5683
Warsaw|52.2297|21.0122
Lisbon|38.7169|-9.139
Amsterdam|52.3676|4.9041
Reykjavik|64.1355|-21.8954
Kuala Lumpur|3.139|101.6869
Singapore|1.3521|103.8198
Manila|14.5995|120.9842
Dhaka|23.8103|90.4125
Nairobi|-1.286389|36.817223
Algiers|36.7372|3.0863
Lima|-12.0464|-77.0428
Santiago|-33.4489|-70.6693
Havana|23.1136|-82.3666
Caracas|10.4806|-66.9036
Montevideo|-34.9011|-56.1645
Tripoli|32.8872|13.1913
Tunis|36.8065|10.1815
Nouakchott|18.0735|-15.9582
Khartoum|15.5007|32.5599
Addis Ababa|9.1450|40.4897
Cape Town|-33.9249|18.4241
Luanda|-8.839988|13.289437
N'Djamena|12.1348|15.0557
Kigali|-1.9579|30.1127
Kathmandu|27.7172|85.3240
Phnom Penh|11.5564|104.9282
Wellington|-41.2924099910259|174.77760088601906
Beijing|39.9042|116.4074
Niamey|13.5127|2.1124
Seoul|Mexico City|1066$|835 min (Direct)
Brasilia|Seoul|910$|1875 min (1 stop)
Riyadh|Moscow|537$|530 min (1 stop)
Buenos Aires|Algiers|827$|970 min (1 stop)
New Delhi|Pretoria|953$|835 min (1 stop)
Seoul|Moscow|580$|825 min (1 stop)
Cairo|Amsterdam|319$|295 min (Direct)
Sofia|Rome|21$|110 min (Direct)
Tokyo|Mexico City|1417$|735 min (Direct)
Moscow|Kuala Lumpur|390$|970 min (1 stop)
Paris|San Juan|607$|1840 min (2 stops)
Lima|Roseau|1014$|2285 min (2 stops)
Brussels|Warsaw|23$|120 min (Direct)
Amman|Vienna|49$|235 min (Direct)
Rome|Cairo|177$|195 min (Direct)
Dhaka|Buenos Aires|1236$|1570 min (1 stop)
Nairobi|Buenos Aires|894$|1615 min (1 stop)
Rome|Mexico City|541$|825 min (Direct) 
Stockholm|Moscow|273$|765 min (1 stop)
Brussels|Sofia|18$|160 min (Direct)
Doha|Buenos Aires|1251$|1350 min (1 stop)
Kabul|Copenhagen|474$|1320 min (1 stop)
Nairobi|Bern|658$|850 min (1 stop)
Sofia|Vienna|653$|100 min (Direct)
Rabat|Dhaka|856$|890 min (1 stop)
Mexico City|Cairo|533$|1215 min (1 stop)
Jakarta|Warsaw|459$|1055 min (1 stop)
New Delhi|Doha|208$|280 min (Direct)
Amsterdam|Dhaka|454$|735 min (1 stop)
Santiago|Canberra|1095$|1265 min (1 stop)
Warsaw|San Juan|1156$|960 min (1 stop)
London|Algiers|184$|170 min (Direct)
Seoul|Nairobi|250$|1275 min (1 stop)
Dhaka|Canberra|464$|1675 min (2 stops)
Brasilia|Bern|1368$|1150 min (2 stops)
Bern|Dhaka|780$|885 min (1 stop)
Caracas|Sofia|459$|970 min (1 stop)
Kabul|Stockholm|509$|1455 min (1 stop)
Pretoria|Paris|751$|690 min (1 stop)
Seoul|Brussels|305$|1040 min (Direct)
Baghdad|Singapore|625$|1115 min (1 stop)
Brasilia|San Juan|227$|785 min (1 stop)
Kuala Lumpur|Vienna|324$|895 min (1 stop)
Oslo|Lisbon|52$|250 min (Direct)
Madrid|Baghdad|152$|540 min (1 stop)
Oslo|Warsaw|21$|110 min (Direct)
Brussels|Riyadh|147$|530 min (1 stop)
Pretoria|Copenhagen|382$|1015 min (1 stop)
Kuala Lumpur|Amsterdam|805$|760 min
Beirut|Algiers|308$|455 min (1 stop)
Amman|Copenhagen|116$|430 min (1 stop)
Stockholm|Lima|550$|1135 min (1 stop)
Manila|Rome|322$|1110 min (1 stop)
Brussels|Canberra|745$|2320 min (2 stops)
Rome|Buenos Aires|693$|865 min (Direct)
Kuala Lumpur|Lisbon|449$|1015 min (1 stop)
Dhaka|Nairobi|372$|695 min (1 stop)
Copenhagen|Washington|542$|555 min (Direct)
Dhaka|Baghdad|342$|585 min (1 stop)
Dhaka|Vienna|383$|1755 min (1 stop)
Paris|Amsterdam|50$|90 min (Direct)
Lisbon|Hanoi|468$|1070 min (1 stop)
Copenhagen|Manila|398$|1140 min (1 stop)
Caracas|Algiers|1480$|1625 min (2 stops)
Moscow|Singapore|494$|1080 min (1 stop)
Amman|Helsinki|152$|545 min (1 stop)
Cairo|Stockholm|252$|310 min (Direct)
Pretoria|Algiers|462$|995 min (1 stop)
Manila|Canberra|219$|1220 min (1 stop)
Havana|Stockholm|1715$|895 min (1 stop)
Washington|London|433$|430 min (Direct)
Riyadh|Kuala Lumpur|249$|590 min (1 stop)
Lisbon|Copenhagen|57$|220 min (Direct)
Hanoi|New Delhi|105$|285 min (Direct)
Bangkok|Rome|447$|780 min (Direct)
Singapore|Manila|89$|210 min (Direct)
Santiago|Athens|654$|1100 min (1 stop)
New Delhi|Hanoi|97$|245 min (Direct)
Singapore|Rabat|537$|1645 min (1 stop)
Pretoria|Rome|368$|1130 min (1 stop)
Tokyo|Beirut|480$|1080 min (1 stop)
Havana|Cairo|1347$|1355 min (2 stops)
Seoul|Rabat|348$|1300 min (1 stop)
Lisbon|Cairo|346$|310 min (Direct)
Havana|Helsinki|1608$|1160 min (2 stops)
Moscow|Bangkok|379$|920 min (1 stop)
Hanoi|Kuala Lumpur|79$|195 min (Direct)
Cairo|Beirut|123$|80 min (Direct)
Roseau|Santiago|871$|1425 min (2 stops)
San Juan|Cairo|967$|2190 min (2 stops)
Reykjavik|Amsterdam|82$|190 min (Direct)
Madrid|Rabat|25$|100 min (Direct)
Hanoi|Reykjavik|729$|1170 min (1 stop)
Rome|San Juan|782$|1290 min (1 stop)
Baghdad|Caracas|1430$|1565 min (1 stop)
Cairo|Kuala Lumpur|327$|745 min (1 stop)
Brussels|New Delhi|288$|745 min (1 stop)
Caracas|Amman|620$|970 min (1 stop)
Havana|Copenhagen|1480$|745 min (1 stop)
Lisbon|Havana|531$|795 min (1 stop)
Canberra|London|1105$|1685 min (1 stop)
Caracas|San Juan|535$|1635 min (1 stop)
Riyadh|Bangkok|511$|415 min (Direct)
Singapore|Warsaw|364$|890 min (1 stop)
Roseau|Madrid|710$|1280 min (1 stop)
Havana|New Delhi|2137$|1290 min (1 stop)
Riyadh|Caracas|1162$|1561 min (1 stop)
Stockholm|Havana|504$|680 min (1 stop)
Caracas|Stockholm|532$|885 min (1 stop)
Lisbon|Stockholm|62$|265 min (Direct)
Roseau|Bern|1234$|1200 min (2 stops)
Santiago|Algiers|691$|995 min (1 stop)
Algiers|Santiago|508$|1470 min (1 stop)
Baghdad|Santiago|695$|2195 min (2 stops)
Ottawa|Washington|180$|96 min (Direct)
Reykjavik|Warsaw|68$|240 min (Direct)
Nairobi|Copenhagen|445$|95 min (1 stop)
Seoul|Reykjavik|438$|1400 min (1 stop)
Beirut|Paris|354$|280 min (Direct)
Reykjavik|Ottawa|463$|730 min (1 stop)
Moscow|Vienna|633$|770 min (1 stop)
Baghdad|Havana|1571$|1875 min (2 stops)
Nairobi|Bangkok|700$|561 min (Direct)
Pretoria|Washington|628$|1455 min (1 stop)
Abu Dhabi|Brussels|582$|425 min (Direct)
Berlin|Amsterdam|59$|90 min (Direct)
Paris|Lisbon|32$|150 min (Direct)
